participant_id,personality_name,trial_number,trial_type,trial_duration,total_steps,success_rate,final_cognitive_load,nasa_mental_demand,nasa_physical_demand,nasa_temporal_demand,nasa_performance,nasa_effort,nasa_frustration,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,overall_satisfaction,ease_of_use,recommendation_likelihood
P003,Priya Patel 3,1,baseline,31.046422719955444,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,55,54
P003,Priya Patel 3,2,baseline,26.711224794387817,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,63,66
P003,Priya Patel 3,3,baseline,24.283204078674316,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,58,48
P003,Priya Patel 3,4,baseline,27.048447847366333,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,66,54
P003,Priya Patel 3,5,baseline,25.651838064193726,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,56,49
P003,Priya Patel 3,6,agent_assisted,28.813518047332764,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,51,69
P003,Priya Patel 3,7,agent_assisted,27.815468788146973,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,50,52
P003,Priya Patel 3,8,agent_assisted,29.51844310760498,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,70,59
P003,Priya Patel 3,9,agent_assisted,29.15247893333435,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,59,75
P003,Priya Patel 3,10,agent_assisted,25.358532905578613,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,63,52
P002,Sarah Johnson 2,1,baseline,30.65151619911194,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,58,74
P002,Sarah Johnson 2,2,baseline,27.126420974731445,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,60,46
P002,Sarah Johnson 2,3,baseline,28.59102487564087,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,50,58
P002,Sarah Johnson 2,4,baseline,28.754469871520996,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,67,62
P002,Sarah Johnson 2,5,baseline,28.81309986114502,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,69,74
P002,Sarah Johnson 2,6,agent_assisted,29.93266987800598,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,63,48
P002,Sarah Johnson 2,7,agent_assisted,28.47909712791443,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,65,49
P002,Sarah Johnson 2,8,agent_assisted,28.723222017288208,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,52,47
P002,Sarah Johnson 2,9,agent_assisted,29.347532987594604,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,68,63
P002,Sarah Johnson 2,10,agent_assisted,23.185867071151733,20,0.0,100,50,20,15,70,50,35,3,2,3,2,3,2,3,2,3,2,60,68,46
P001,Priya Patel,1,baseline,32.79968619346619,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,36,26
P001,Priya Patel,2,baseline,29.10443902015686,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,47,34
P001,Priya Patel,3,baseline,27.979935884475708,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,33,52
P001,Priya Patel,4,baseline,27.1627140045166,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,38,50
P001,Priya Patel,5,baseline,29.345447301864624,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,48,43
P001,Priya Patel,6,agent_assisted,30.645984649658203,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,32,51
P001,Priya Patel,7,agent_assisted,30.019246101379395,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,44,26
P001,Priya Patel,8,agent_assisted,28.752024173736572,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,38,26
P001,Priya Patel,9,agent_assisted,27.057809114456177,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,39,51
P001,Priya Patel,10,agent_assisted,30.520023107528687,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,39,43
P004,Sarah Johnson 4,1,baseline,27.648029088974,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,41,44
P004,Sarah Johnson 4,2,baseline,28.93980097770691,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,50,34
P004,Sarah Johnson 4,3,baseline,27.07500696182251,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,47,40
P004,Sarah Johnson 4,4,baseline,28.05784010887146,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,32,54
P004,Sarah Johnson 4,5,baseline,27.879236936569214,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,45,39
P004,Sarah Johnson 4,6,agent_assisted,28.07668709754944,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,45,28
P004,Sarah Johnson 4,7,agent_assisted,31.84755301475525,20,0.0,100,65,20,25,70,50,50,2,1,2,1,2,1,2,1,2,1,40,50,33
