Participant_ID,Name,Age,Gender,Occupation,Tech_Savviness,Experiment_Phase,Dietary_Preferences,Allergies,Decision_Speed,Attention_Span
P001,Emily Walker,37,Non-binary,Specialist,0.41746881796697155,A,,,7.161081010183322,41.19588275097856
P002,Ethan Lee,63,Female,Administrator,0.16261408692661464,B,,,2.7069169012434804,32.15786579728694
P003,Lucas Thomas,61,Female,Nurse,0.3263810751509031,A,,soy,4.739547278600088,38.022374957642654
P004,Daniel Wright,39,Non-binary,Software Engineer,0.7211610026016736,A,,,6.432225438972597,36.331955969548204
P005,Madison Adams,57,Female,Administrator,0.2682107310836601,A,,,5.747709501522886,41.202746914814306
P006,Penelope Evans,56,Male,Student,0.3695021173064808,A,no_pork,,5.057617710512627,28.524355992093042
P007,Ella Scott,32,Male,Administrator,0.5197972577027621,A,,,7.559637823057033,44.30455918413494
P008,Layla Collins,43,Female,Administrator,0.6545340355797706,B,"no_pork,lacto_ovo_vegetarian",,6.468090698198388,41.74897989007591
P009,Isaac Morris,42,Male,Engineer,0.6601467998332349,B,,,4.60754549164637,25.208896349564494
P010,Layla Collins,44,Female,Specialist,0.6975568236464643,A,,,4.704251892931266,35.296023784380964
P011,Isabella Garcia,59,Male,Doctor,0.3613006178277214,A,,,3.6815609142445065,26.52319225341808
P012,Mason Jackson,20,Female,Administrator,0.6016602278949696,B,,,3.5924511472224685,27.266495833450254
P013,Ella Scott,42,Male,Sales Representative,0.34071731376132697,A,no_pork,"fish,nuts",3.2217030380997036,18.324966110742075
P014,John Edwards,43,Non-binary,Chef,0.448650639995684,B,,,5.924983670403524,20.617212736896917
P015,Ella Scott,29,Male,Analyst,1.0,B,,,2.1647068849563356,21.351261814274572
P016,William Jones,33,Female,Writer,0.6470230607287379,B,,,5.091269590251501,34.068394238249965
P017,Grace Turner,52,Female,Assistant,0.21600028060998372,B,"vegan,halal",,7.542078336951372,18.226867143941533
P018,Amelia Martin,63,Male,Engineer,0.1010830686356661,A,,,5.260560723807061,41.4500576654303
P019,Sophia Martinez,43,Male,Engineer,0.5239637164440344,B,"ovo_vegetarian,lacto_ovo_vegetarian",,7.108678161132669,22.420596759293783
P020,Ella Scott,50,Male,Artist,0.35579841123143785,B,,,4.2687934849200575,21.54948620433272
P021,Luna Perez,23,Male,Engineer,0.8179470163823186,B,,,6.775049506349917,28.488914790126977
P022,Mason Jackson,49,Non-binary,Writer,0.6870996341136651,B,,,7.185829216406821,19.351729923451213
P023,Sebastian Baker,59,Male,Engineer,0.27817453902770206,A,,,3.9037467469415175,18.31388226412191
P024,Scarlett Gonzalez,22,Non-binary,Designer,0.8426695268592685,A,,"eggs,sesame",5.8842940653843545,29.121076942981883
P025,John Edwards,33,Non-binary,Manager,0.6350077875256164,B,"no_pork,lacto_vegetarian",,7.522510604319643,35.51607589058115
P026,Owen Young,57,Non-binary,Administrator,0.3179666872368491,B,,peanuts,6.449391597875623,29.74820564576575
P027,Owen Young,56,Male,Consultant,0.1279334633512152,A,"halal,vegetarian",,2.088927869617107,36.71931620552809
P028,Samuel Green,28,Female,Manager,0.8121260426895904,B,,,2.224727431279663,44.327849569366826
P029,Emily Walker,23,Female,Analyst,1.0,B,,,6.956526631527136,44.43835653346037
P030,Elizabeth Allen,21,Female,Teacher,0.7159109091212873,A,,,3.1533974972961007,24.468931218796705
P031,Amelia Martin,23,Male,Chef,0.8203761196419411,A,vegetarian,,3.564990001176234,42.10216284575282
P032,Wyatt Parker,55,Male,Software Engineer,0.6170266813467307,B,,eggs,4.795615130263476,38.37357026132289
P033,Sebastian Baker,33,Female,Marketing Manager,0.5616082810252523,B,,,6.4196206911778955,29.80823750246743
P034,Emma Johnson,39,Male,Assistant,0.3793542703292687,B,,"fish,peanuts",3.1757298300794785,33.390041249256974
P035,Avery Lopez,49,Non-binary,Software Engineer,0.6450190041087357,A,,eggs,5.176994195932245,15.65080687463759
P036,Noah Wilson,48,Non-binary,Specialist,0.4464369937029051,A,,,5.2356571015367575,26.783795194847354
P037,Samuel Green,56,Male,Artist,0.24877905147652285,A,"vegan,ovo_vegetarian",,7.911961471062547,41.39624622613146
P038,Luna Perez,40,Female,Teacher,0.3369600019517549,A,,,4.319314088031968,23.567675904458103
P039,Luna Perez,45,Female,Writer,0.5501286468165952,A,,,7.688082497507587,24.835187790354926
P040,William Jones,32,Male,Writer,0.6983768718266392,A,,,7.623658720671956,17.31502767339518
P041,Chloe Campbell,35,Male,Manager,0.587269665035361,B,,,7.592885227391334,19.619295924735397
P042,Penelope Evans,48,Male,Marketing Manager,0.5958179560254608,A,"no_pork,no_beef",,4.419689947343543,35.07504180502233
P043,Elizabeth Allen,52,Female,Consultant,0.3408787504054801,B,,"sesame,eggs",4.295863623619831,36.380952595890676
P044,John Edwards,65,Female,Chef,0.14690671628524882,A,,,3.854395433074063,44.765225368449485
P045,Charlotte Moore,52,Male,Administrator,0.4491158742689261,B,,,6.763928176218261,40.112552526712776
P046,Abigail Lewis,64,Non-binary,Engineer,0.3296630129811966,B,,,3.601844959031929,23.4825248601793
P047,Owen Young,49,Male,Chef,0.3032644075643142,B,,,6.345956853148442,40.11438486411553
P048,James Miller,42,Female,Writer,0.3483716135926245,B,,nuts,3.0718684208931224,33.02279459358444
P049,Luna Perez,36,Non-binary,Accountant,0.33612148485139226,B,"no_beef,halal",,2.513539730666312,33.348934431939455
P050,Amelia Martin,19,Non-binary,Marketing Manager,0.9584807744203099,B,,,7.937407501449644,36.018150735657954
